ArduinoMillis, Year, Month, Day, Hour, Minute, Second, Milisecond, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, AngleX, AngleY, AngleZ, MagX, MagY, MagZ, FileWriteMillis
2638, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 
2651, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 
2665, 0, 0, 0, 0, 0, 0, 5, 534, -811, -2224, 355, -20, -117, -29322, -2261, -22077, -345, 111, -438, 12, 
2679, 0, 0, 0, 0, 0, 0, 5, 534, -811, -2224, 355, -20, -117, -29322, -2261, -22077, -345, 111, -438, 16, 
2698, 0, 0, 0, 0, 0, 175, 20565, 505, -1468, -2681, 214, 149, -261, -29275, -2312, -22024, -343, 110, -437, 12, 
2713, 0, 0, 0, 0, 0, 0, 55, 494, -1171, 6088, 412, 211, -376, -29200, -2372, -4071, -343, 110, -437, 11, 
2727, 0, 0, 0, 0, 0, 0, 55, 494, -1171, 6088, 412, 211, -376, -29097, -2443, -21992, -341, 107, -437, 13, 
2743, 0, 0, 0, 0, 0, 0, 85, 447, -937, 5693, 1526, 71, -294, -28664, -2578, -21964, -341, 107, -437, 15, 
2760, 0, 0, 0, 0, 0, 0, 85, 447, -937, 5693, 1526, 71, -294, -28409, -2614, -21930, -339, 99, -441, 12, 
2775, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 11, 
2789, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 11, 
2802, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 12, 
2817, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 14, 
2833, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 11, 
2847, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 12, 
2861, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 11, 
2875, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 11, 
2888, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 15, 
2905, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 12, 
2919, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 13, 
2934, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 12, 
2948, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 12, 
2962, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 14, 
2978, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 12, 
2993, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 11, 
3006, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 12, 
